symbol,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
MDG,Công ty Cổ phần Miền Đông,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
KLF,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,Du lịch & Giải trí,Du lịch và Giải trí,Dịch vụ giải trí,CT,5000,5700,5750,5755
KMT,Công ty Cổ phần Kim khí Miền Trung,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
LMC,Công ty Cổ phần Long Beach LMC,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
KSQ,Công ty Cổ phần CNC Capital Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
DSD,Công ty cổ phần DHC Suối Đôi,Du lịch & Giải trí,Du lịch và Giải trí,Dịch vụ giải trí,CT,5000,5700,5750,5755
CMF,Công ty Cổ phần Thực phẩm Cholimex,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
EME,Công ty Cổ phần Điện Cơ,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT,2000,2700,2730,2737
KST,Công ty Cổ phần KASATI,Thiết bị và Phần cứng,Công nghệ Thông tin,Thiết bị viễn thông,CT,9000,9500,9570,9578
GLW,Công ty Cổ phần Cấp thoát nước Gia Lai,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CDR,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Bảo hiểm phi nhân thọ,Bảo hiểm,Bảo hiểm phi nhân thọ,BH,8000,8500,8530,8536
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
AAH,Công ty Cổ phần Hợp Nhất,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
XDH,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
KTL,Công ty Cổ phần Kim khí Thăng Long,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
KTS,Công ty Cổ phần Đường Kon Tum,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
HCC,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
ATA,Công ty Cổ phần NTACO,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
L35,Công ty Cổ phần Cơ khí Lắp máy Lilama,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
L43,Công ty Cổ phần Lilama 45.3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
L44,Công ty Cổ phần Lilama 45.4,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
L62,Công ty Cổ phần Lilama 69 - 2,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DKC,Công ty Cổ phần Chợ Lạng Sơn,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BHA,Công ty Cổ phần Thủy điện Bắc Hà,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
DWS,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
HCI,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CMC,Công ty Cổ phần Đầu tư CMC,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
CST,Công ty Cổ phần Than Cao Sơn - TKV,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
DPC,Công ty Cổ phần Nhựa Đà Nẵng,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
MGR,Công ty cổ phần Tập đoàn MGROUP,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BHK,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
HDO,Công ty Cổ phần Hưng Đạo Container,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
LBE,Công ty Cổ phần Thương mại và Dịch vụ LVA,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
TIN,Công ty Tài chính Cổ phần Tín Việt,Dịch vụ tài chính,Dịch vụ tài chính,Quản lý tài sản,NH,8000,8700,8770,8771
DKW,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
LCC,Công ty Cổ phần Xi măng Hồng Phong,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LCG,Công ty Cổ phần Lizen,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
LQN,Công ty Cổ phần Licogi Quảng Ngãi,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
DHD,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
HEC,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT,2000,2700,2790,2791
LCS,Công ty Cổ phần Licogi 16.6,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Dịch vụ Máy tính,CT,9000,9500,9530,9533
LGM,Công ty Cổ phần Giày da và May mặc Xuất khẩu (Legamex),Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LHG,Công ty Cổ phần Long Hậu,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
BTW,Công ty Cổ phần Cấp nước Bến Thành,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
HBD,Công ty Cổ phần Bao bì PP Bình Dương,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
LIC,Tổng Công ty LICOGI - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
L12,Công ty Cổ phần Licogi 12,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
CMW,Công ty Cổ phần Cấp nước Cà Mau,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
LIG,Công ty Cổ phần Licogi 13,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
CCC,Công ty Cổ Phần Xây Dựng CDC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HJS,Công ty Cổ phần Thủy điện Nậm Mu,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
LAI,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LIX,Công ty Cổ phần Bột Giặt LiX,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
ABW,Công ty Cổ phần Chứng khoán An Bình,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
LKW,Công ty Cổ phần Cấp nước Long Khánh,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
LM3,Công ty Cổ phần Lilama 3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LM8,Công ty Cổ phần Lilama 18,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LNC,Công ty Cổ phần Lệ Ninh,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
ADS,Công ty Cổ phần DAMSAN,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
LO5,Công ty Cổ phần Lilama 5,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
DAN,Công ty Cổ phần Dược Danapha,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
MKP,Công ty Cổ phần Hóa - Dược phẩm Mekophar,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
LTC,Công ty Cổ phần Điện nhẹ Viễn Thông,Thiết bị và Phần cứng,Công nghệ Thông tin,Phần cứng,CT,9000,9500,9570,9572
MAC,Công ty Cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Xe tải & Đóng tàu,CT,2000,2700,2750,2753
MA1,Công ty Cổ phần Thiết bị,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Hàng gia dụng,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT,3000,3700,3720,3726
CMP,Công ty Cổ phần Cảng Chân Mây,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
KCB,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CBS,Công ty Cổ phần Mía đường Cao Bằng,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DRH,Công ty Cổ phần DRH Holdings,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
FIR,Công ty Cổ phần Địa ốc First Real,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
EVF,Công ty Tài chính Cổ phần Điện Lực,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân,NH,8000,8700,8770,8773
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
PPT,Công ty cổ phần Petro Times,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm phi nhân thọ,Bảo hiểm,Bảo hiểm phi nhân thọ,BH,8000,8500,8530,8536
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
DNP,Công ty Cổ phần DNP Holding,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
BLT,Công ty Cổ phần Lương thực Bình Định,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
HMD,Công ty Cổ phần Hóa chất Minh Đức,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
FT1,Công ty Cổ phần Phụ tùng máy số 1,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
MEC,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MED,Công ty Cổ phần Dược Trung ương Mediplantex,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CDN,Công ty Cổ phần Cảng Đà Nẵng,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BHG,Công ty Cổ phần Chè Biển Hồ,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
HLY,Công ty Cổ phần Gốm xây dựng Yên Hưng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
MZG,Công ty Cổ Phần Miza,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,CT,1000,1700,1730,1737
GEX,Công ty Cổ phần Tập đoàn Gelex,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT,2000,2700,2730,2737
HMS,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
HMH,Công ty Cổ phần Hải Minh,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
HAF,Công ty Cổ phần Thực phẩm Hà Nội,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
BLN,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
MML,Công ty Cổ phần Masan MEATLife,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
HNA,Công ty Cổ phần Thủy điện Hủa Na,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
MPT,Công ty Cổ phần Tập đoàn MPT,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
MPY,Công ty Cổ phần Môi trường đô thị Phú Yên,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
CTN,Công ty Cổ phần Xây dựng Công trình ngầm,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DHN,Công ty Cổ phần Dược phẩm Hà Nội,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CCM,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
MSN,Công ty Cổ phần Tập đoàn Masan,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
MSR,Công ty Cổ phần Masan High-Tech Materials,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Phần mềm,CT,9000,9500,9530,9537
MTC,Công ty Cổ phần Dịch vụ Du lịch Mỹ Trà,Du lịch & Giải trí,Du lịch và Giải trí,Nhà hàng và quán bar,CT,5000,5700,5750,5757
MTH,Công ty Cổ phần Môi trường Đô thị Hà Đông,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
MTL,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
NAU,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
BVL,Công ty Cổ phần BV Land,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT,8000,8600,8630,8637
MTP,Công ty Cổ phần Dược Medipharco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
CMX,Công ty Cổ phần CAMIMEX Group,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
NJC,Công ty Cổ phần May Nam Định,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
HHP,Công ty Cổ phần HHP Global,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,CT,1000,1700,1730,1737
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
BII,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HPB,Công ty Cổ phần Bao bì PP,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
FLC,Công ty Cổ phần Tập đoàn FLC,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HJC,Công ty Cổ phần Hoà Việt,Thuốc lá,Hàng cá nhân & Gia dụng,Thuốc lá,CT,3000,3700,3780,3785
NBC,Công ty Cổ phần Than Núi Béo - Vinacomin,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
NBE,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
NBP,Công ty Cổ phần Nhiệt Điện Ninh Bình,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
