id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
1,Nguyễn Đức Vũ,Thành viên Hội đồng Quản trị,TV HĐQT,2019-06-20,3.1e-05,448,YBM
10,Mai Đình Đình,Thành viên Ban kiểm soát,TV BKS,2025-02-13,0.0,0,YBM
11,Huỳnh Song Trà,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-13,0.0,0,YBM
12,Hoàng Anh Quân,Phó Giám đốc,Phó GĐ,2025-03-13,0.0,0,YBM
2,HOÀNG QUỐC HUY,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-07-19,0.0,0,YBM
7,Vũ Thị Mai,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,2025-02-13,0.0,0,YBM
8,Nguyễn Văn Don,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-13,0.0,0,YBM
9,Lê Đình Chinh,Thành viên Ban kiểm soát,TV BKS,2025-02-13,0.0,0,YBM
4,Vũ Xuân Nguyên,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2023-02-24,0.1452,1709500,YBC
9,Phạm Quang Phú,Thành viên Hội đồng Quản trị/Giám đốc,TV HĐQT/GĐ,2025-01-15,0.129,1519300,YBC
1,Bùi Mạnh Cường,Phó Giám đốc,Phó GĐ,2015-09-14,0.00349301,20300,YBC
5,Nguyễn Quang Chiến,Phụ trách Công bố thông tin/Trưởng Ban kiểm soát,Phụ trách CBTT/Trưởng BKS,2023-02-24,0.0015,13720,YBC
8,Tống Văn Tý,Thành viên Ban kiểm soát,TV BKS,2024-05-04,0.0004,4100,YBC
2,Phạm Hữu Thạo,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.00036135,2100,YBC
3,Nguyễn Thị Nghiêm Chang,Thành viên Ban kiểm soát,TV BKS,2019-05-06,0.0,0,YBC
6,Đặng Văn Thắng,Phó Giám đốc,Phó GĐ,2023-02-24,0.0,0,YBC
7,Nguyễn Đình Hoàng,Kế toán trưởng,Kế toán trưởng,2023-02-24,0.0,0,YBC
1,Nguyễn Tuấn Anh,Thành viên Hội đồng Quản trị,TV HĐQT,2018-06-20,0.0,0,XPH
2,Nguyễn Thị Bích Phượng,Thành viên Ban kiểm soát,TV BKS,2019-05-06,0.0,0,XPH
3,Phạm Đức Cường,Kế toán trưởng,Kế toán trưởng,2023-02-10,0.0,0,XPH
4,Trần Anh Vũ,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2023-06-01,0.0,0,XPH
5,Nguyễn Thị Hồng Thúy,Trưởng Ban kiểm soát,Trưởng BKS,2023-06-01,0.0,0,XPH
6,Lê Quang Hòa,Thành viên Hội đồng Quản trị/Phó Giám đốc,TV HĐQT/Phó GĐ,2025-02-18,0.0,0,XPH
7,Đỗ Huy Lập,Giám đốc/Thành viên Hội đồng Quản trị,GĐ/TV HĐQT,2025-02-18,0.0,0,XPH
8,Đoàn Thị Thanh Hường,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-18,0.0,0,XPH
9,Mai Thị Khánh Tân,Thành viên Ban kiểm soát,TV BKS,2025-02-18,0.0,0,XPH
1,Lê Văn Thủy,Thành viên Hội đồng Quản trị,TV HĐQT,2024-09-19,0.02,300000,XMP
2,Nguyễn Thị Hà Ninh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-06,0.0,0,XMP
3,Nguyễn Thị Thanh Thủy,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-12,0.0,0,XMP
4,Đinh Thùy Lâm,Kế toán trưởng,Kế toán trưởng,2025-02-12,0.0,0,XMP
5,TRẦN XUÂN NINH,Thành viên Ban kiểm soát,TV BKS,2025-02-12,0.0,0,XMP
6,Phạm Quang Minh,Tổng Giám đốc,TGĐ,2025-02-12,0.0,0,XMP
7,Trịnh Nguyên Khánh,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-03-19,0.0,0,XMP
8,Phạm Văn Minh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-31,0.0,0,XMP
9,Nguyễn Hồ Ngọc,Thành viên Ban kiểm soát,TV BKS,2025-04-03,0.0,0,XMP
10,Đinh Thị Hạnh,Trưởng Ban kiểm soát,Trưởng BKS,2025-04-03,0.0,0,XMP
5,TRẦN THANH HẢI,Giám đốc/Thành viên Hội đồng Quản trị,GĐ/TV HĐQT,2025-02-21,0.0026,10400,XMD
4,Nguyễn Ngọc Phượng,Kế toán trưởng,Kế toán trưởng,2023-06-20,0.00228,9100,XMD
6,TRẦN DUY TÌNH,Phó Giám đốc,Phó GĐ,2025-02-21,0.00025,3500,XMD
2,Nguyễn Cao Thắng,Thành viên Hội đồng Quản trị,TV HĐQT,2018-04-13,1.8e-05,7000,XMD
8,Đặng Việt Đức,Thành viên Ban kiểm soát,TV BKS,2025-04-18,0.0,0,XMD
3,Lê Thị Ngọc Diệp,Thành viên Ban kiểm soát,TV BKS,2021-05-15,0.0,0,XMD
7,Nguyễn Đức Thảo,Thành viên Ban kiểm soát,TV BKS,2025-02-21,0.0,0,XMD
1,Nguyễn Đức Ứng,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2018-04-13,0.0,0,XMD
9,Bùi Khắc Sơn,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-12,0.1999,14276875,XMC
7,Nguyễn Thọ Phùng,Thành viên Hội đồng Quản trị,TV HĐQT,2024-09-12,0.0369,2635125,XMC
14,Nguyễn Cao Thắng,Phụ trách Công bố thông tin/Tổng Giám đốc,Phụ trách CBTT/TGĐ,2025-04-10,0.0036,254888,XMC
8,Kim Mạnh Hà,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.0015,100000,XMC
3,Đinh Viết Long,Phó Tổng Giám đốc,Phó TGĐ,2023-04-14,0.0012,80000,XMC
2,Mai Văn Định,Kế toán trưởng,Kế toán trưởng,2019-04-11,0.0012,69300,XMC
13,DƯƠNG ANH TUẤN,Phó Tổng Giám đốc,Phó TGĐ,2025-02-21,0.0002,14851,XMC
6,Nguyễn Minh Đức,Trưởng Ban kiểm soát,Trưởng BKS,2024-04-26,0.00018872,13475,XMC
11,Hoàng Văn Phong,Phó Tổng Giám đốc,Phó TGĐ,2025-02-12,0.0,0,XMC
12,Phạm Thị Thanh Huyền,Thành viên Ban kiểm soát,TV BKS,2025-02-12,0.0,0,XMC
10,Đỗ Thị Huệ,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-12,0.0,0,XMC
4,LƯƠNG ANH TUẤN,Thành viên Ban kiểm soát,TV BKS,2023-04-20,0.0,0,XMC
1,Lê Trung Thắng,Phó Tổng Giám đốc,Phó TGĐ,2019-04-11,0.0,0,XMC
5,Nguyễn Đức Cử,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2024-04-26,0.0,0,XMC
1,TRẦN XUÂN CHÍNH,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-24,0.17275,518250,XLV
2,Trần Xuân Minh,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2025-02-24,0.110775,332325,XLV
3,Nguyễn Anh Tuấn,Thành viên Hội đồng Quản trị/Phó Tổng Giám đốc,TV HĐQT/Phó TGĐ,2025-02-24,0.1100167,330050,XLV
4,Ngô Đình Khương,Kế toán trưởng/Thành viên Hội đồng Quản trị,Kế toán trưởng/TV HĐQT,2025-02-24,0.1079833,323950,XLV
6,Đặng Vũ Quyền,Phó Tổng Giám đốc,Phó TGĐ,2025-02-24,0.0240667,72200,XLV
7,Đinh Hữu Phương,Thành viên Ban kiểm soát,TV BKS,2025-02-24,0.0185833,55750,XLV
8,Trần Ngọc Tân,Thành viên Ban kiểm soát,TV BKS,2025-02-24,0.0178167,53450,XLV
9,Nguyễn Cao Ngọc,Phó Tổng Giám đốc,Phó TGĐ,2025-02-24,0.0064833,19450,XLV
5,Lê Công Tinh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-24,0.0019167,5750,XLV
10,Trần Quang Hưng,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-24,0.0003917,1175,XLV
1,Trần Minh Hoàng,Thành viên Ban đại diện Quỹ,TV Ban đại diện Quỹ,2016-10-31,0.0076666667,154100,XHC
8,Đào Đức Chính,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-07-25,0.00468546,98800,XHC
7,Đặng Thanh Thùy,Phụ trách Công bố thông tin/Phó Tổng Giám đốc,Phụ trách CBTT/Phó TGĐ,2023-01-30,0.00055012,11600,XHC
4,Dương Thị Thu Liên,Thành viên Ban kiểm soát,TV BKS,2022-05-09,0.0,0,XHC
5,Đào Ngọc Thu,Trưởng Ban kiểm soát,Trưởng BKS,2022-10-10,0.0,0,XHC
6,Nguyễn Thị Linh Chi,Thành viên Ban kiểm soát,TV BKS,2022-10-10,0.0,0,XHC
9,Nguyễn Đức Cường,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-25,0.0,0,XHC
10,Lê Duy Anh,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2024-11-20,0.0,0,XHC
11,Đoàn Hương Sơn,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-13,0.0,0,XHC
2,Bùi Tiến Tuấn,Kế toán trưởng,Kế toán trưởng,2020-08-26,0.0,0,XHC
3,Lê Việt Bằng,Thành viên Hội đồng Quản trị,TV HĐQT,2022-04-20,0.0,0,XHC
5,Phương Kim Thảo,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.1461,3949604,XDH
1,Trần Hồng Tâm,Thành viên Hội đồng Quản trị,TV HĐQT,2018-10-17,0.127,1387386,XDH
6,Đoàn Trịnh Linh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.0262898,710532,XDH
7,Phạm Tiến Điệp,Giám đốc,GĐ,2025-02-11,0.0034,91393,XDH
8,Trần Quang Khuê,Phó Giám đốc,Phó GĐ,2025-02-11,0.0025021,67623,XDH
9,Nguyễn Thị Hải,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-11,0.001466,39639,XDH
2,Đinh Công Đức,Phó Giám đốc,Phó GĐ,2019-08-27,0.00105,17220,XDH
11,Hà Vân Chi,Phụ trách Công bố thông tin/Người phụ trách quản trị công ty,Phụ trách CBTT/Người phụ trách quản trị công ty,2025-02-11,0.0001,3000,XDH
4,Ngô Thị Thanh Thúy,Trưởng phòng Tài chính - Kế toán,Trưởng phòng Tài chính - Kế toán,2023-09-05,0.0,0,XDH
13,Đỗ Tiến Lợi,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-17,0.0,0,XDH
3,Nguyễn Thanh Huyền,Thành viên Ban kiểm soát,TV BKS,2023-05-04,0.0,0,XDH
10,Trần Thúy Hạnh,Thành viên Ban kiểm soát,TV BKS,2025-02-11,0.0,0,XDH
12,Nguyễn Đình Long,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.0,0,XDH
1,Trần Quốc Uy,Phó Giám đốc,Phó GĐ,2017-02-14,0.0,0,X77
2,Nguyễn Anh Dũng,Thành viên Hội đồng Quản trị/Kế toán trưởng,TV HĐQT/Kế toán trưởng,2022-07-27,0.0,0,X77
3,Trần Thị Mai Hương,Thành viên Ban kiểm soát,TV BKS,2023-05-26,0.0,0,X77
4,Bùi Thị Nguyên Hạnh,Thành viên Hội đồng Quản trị,TV HĐQT,2024-08-05,0.0,0,X77
5,Nguyễn Đình Công,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2024-08-05,0.0,0,X77
6,Nguyễn Thúy Phương,Thành viên Ban kiểm soát,TV BKS,2024-08-05,0.0,0,X77
7,Vũ Tiến Nghĩa,Thành viên Hội đồng Quản trị,TV HĐQT,2024-08-05,0.0,0,X77
8,Lê Thị Lan Hòa,Thành viên Hội đồng Quản trị,TV HĐQT,2024-08-05,0.0,0,X77
9,Nguyễn Thị Minh Thanh,Thành viên Ban kiểm soát,TV BKS,2024-08-05,0.0,0,X77
4,Trịnh Xuân Hiếu,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-13,0.1119,559473,X26
9,Chu Đức Thịnh,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-19,0.0444,222200,X26
5,Bùi Văn Phong,Thành viên Hội đồng Quản trị/Phó Tổng Giám đốc,TV HĐQT/Phó TGĐ,2025-02-13,0.0081,40300,X26
7,Hoàng Thị Thu Hường,Kế toán trưởng,Kế toán trưởng,2025-02-13,0.0006,3000,X26
2,Nguyễn Thị Hưng Hà,Thành viên Ban kiểm soát,TV BKS,2019-04-26,0.0001,500,X26
3,Trần Thị Kim Nhung,Trưởng Ban kiểm soát,Trưởng BKS,2019-04-26,0.0,0,X26
1,Mai Văn Đông,Thành viên Hội đồng Quản trị,TV HĐQT,2018-07-03,0.0,0,X26
6,Nguyễn Văn Việt,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2025-02-13,0.0,0,X26
8,Phạm Thị Cảnh,Thành viên Ban kiểm soát,TV BKS,2025-02-13,0.0,0,X26
6,Phạm Văn Đông,Phó Tổng Giám đốc,Phó TGĐ,2025-02-12,0.0003652,6300,X20
7,Chu Văn Đệ,Thành viên Hội đồng Quản trị/Trưởng phòng Tài chính - Kế toán,TV HĐQT/Trưởng phòng Tài chính - Kế toán,2025-02-12,0.0003304,5700,X20
1,Phan Vũ Thúy Anh,Thành viên Hội đồng Quản trị/Kế toán trưởng,TV HĐQT/Kế toán trưởng,2018-01-30,0.0002,3100,X20
9,Lê Thanh Hà,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2025-02-12,0.0001507,2600,X20
8,Hoàng Sỹ Tâm,Phó Chủ tịch Hội đồng Quản trị/Tổng Giám đốc,Phó Chủ tịch HĐQT/TGĐ,2025-02-12,0.0001333,2300,X20
14,Hà Chí Khoa,Phó Tổng Giám đốc,Phó TGĐ,2025-03-04,0.0001275,2200,X20
10,Ngô Thị Hoa,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-12,0.0001,1300,X20
11,Nguyễn Văn Vinh,Thành viên Ban kiểm soát,TV BKS,2025-02-12,5.8e-05,1000,X20
2,Dương Thị Thu Hòa,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2020-02-07,0.0,0,X20
5,Hoàng Văn Linh,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2024-08-07,0.0,0,X20
3,Vũ Văn Nhất,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-04-03,0.0,0,X20
12,Phan Thị Thủy,Thành viên Ban kiểm soát,TV BKS,2025-02-12,0.0,0,X20
13,Trần Thị Thúy Hằng,Phụ trách Công bố thông tin,Phụ trách CBTT,2025-02-12,0.0,0,X20
4,Nguyễn Thị Lan Phương,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2024-08-07,0.0,0,X20
10,Phạm Thế Trọng Toản,Phó Tổng Giám đốc/Thành viên Hội đồng Quản trị,Phó TGĐ/TV HĐQT,2025-03-27,0.072,720409,WTC
1,Trần Vũ Bình,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,0.0022032,22032,WTC
9,VŨ VĂN TÂM,Thành viên Hội đồng Quản trị/Phụ trách Công bố thông tin/Tổng Giám đốc,TV HĐQT/Phụ trách CBTT/TGĐ,2025-02-13,0.00084,8400,WTC
4,Trịnh Mạnh Hùng,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-13,0.0,0,WTC
5,Trần Thị Thu Hiền,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-13,0.0,0,WTC
6,Trịnh Trung Úy,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-13,0.0,0,WTC
7,Lê Thị Thanh Thủy,Thành viên Ban kiểm soát,TV BKS,2025-02-13,0.0,0,WTC
8,Trần Thị Thanh Loan,Kế toán trưởng,Kế toán trưởng,2025-02-13,0.0,0,WTC
3,Phạm Thị Thu Hà,Trưởng Ban kiểm soát,Trưởng BKS,2021-07-14,0.0,0,WTC
2,Nguyễn Trọng Đại,Thành viên Ban kiểm soát,TV BKS,2018-04-26,0.0,0,WTC
5,Nguyễn Đình Tú,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-12,0.2246521,11300000,WSS
4,Ngô Tiến Minh,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2024-07-26,0.025845,1300000,WSS
10,Trần Đình Tùng,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-24,0.0002,9000,WSS
1,Nguyễn Văn Thư,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2023-05-09,0.0,0,WSS
7,Nguyễn Đăng Trường,Tổng Giám đốc,TGĐ,2025-02-12,0.0,0,WSS
8,Nguyễn Viết Thắng,Thành viên Hội đồng Quản trị/Phụ trách Công bố thông tin,TV HĐQT/Phụ trách CBTT,2025-02-12,0.0,0,WSS
9,Trịnh Công Thắng,Thành viên Ban kiểm soát,TV BKS,2025-02-12,0.0,0,WSS
6,Phạm Đức Long,Phó Tổng Giám đốc/Phó Chủ tịch Hội đồng Quản trị,Phó TGĐ/Phó Chủ tịch HĐQT,2025-02-12,0.0,0,WSS
2,Đoàn Văn Hưng,Thành viên Ban kiểm soát,TV BKS,2023-05-09,0.0,0,WSS
3,Đỗ Xuân Hân,Kế toán trưởng,Kế toán trưởng,2023-08-23,0.0,0,WSS
3,Phạm Đình Hùng,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.0062,90000,WSB
7,Trương Thị Mỹ Hồng,Kế toán trưởng,Kế toán trưởng,2025-02-11,4e-06,5220,WSB
4,NEO GIM SIONG BENNETT,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-11,0.0,0,WSB
5,Trần Nguyên Trung,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.0,0,WSB
6,Nguyễn Thị Kim Cúc,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-11,0.0,0,WSB
8,Trần Thị Loan Anh,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-11,0.0,0,WSB
9,Đoàn Tiến Dũng,Thành viên Ban kiểm soát,TV BKS,2025-02-11,0.0,0,WSB
10,Lê Đăng Khoa,Người phụ trách quản trị công ty/Phụ trách Công bố thông tin/Giám đốc,Người phụ trách quản trị công ty/Phụ trách CBTT/GĐ,2025-02-11,0.0,0,WSB
11,Nguyễn Văn Doanh,Thành viên Ban kiểm soát,TV BKS,2025-02-11,0.0,0,WSB
1,Võ Văn Vân,Phó Giám đốc,Phó GĐ,2024-03-18,0.0,0,WSB
12,Nguyễn Văn Đồi,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-14,0.0,0,WSB
2,Phạm Minh Quân,Phó Giám đốc,Phó GĐ,2024-03-18,0.0,0,WSB
1,Trần Văn Phương,Thành viên Hội đồng Quản trị/Phó Tổng Giám đốc,TV HĐQT/Phó TGĐ,2023-08-14,0.0008,2000,WCS
3,Nguyễn Văn Thành,Kế toán trưởng/Người phụ trách quản trị công ty/Phụ trách Công bố thông tin,Kế toán trưởng/Người phụ trách quản trị công ty/Phụ trách CBTT,2023-08-14,0.0002,500,WCS
4,Nguyễn Vân Hà,Thành viên Ban kiểm soát,TV BKS,2023-08-14,0.0,0,WCS
5,Nguyễn Xuân Tùng,Trưởng Ban kiểm soát,Trưởng BKS,2023-08-14,0.0,0,WCS
6,Lê Thị Mỹ Hạnh,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-07-08,0.0,0,WCS
7,Mai Thanh Bình,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-08,0.0,0,WCS
8,Bùi Công Hiệp,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-08,0.0,0,WCS
9,Trương Nguyễn Thiên Kim,Thành viên Ban kiểm soát,TV BKS,2025-01-24,0.0,0,WCS
2,Đặng Nguyễn Nguyên Huân,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2023-08-14,0.0,0,WCS
2,Nguyễn Vạn Xuân,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-19,0.48852721,2936992,VXT
3,Nguyễn Kim Cương,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2025-02-19,0.0359804,216312,VXT
1,Ngô Quang Việt,Thành viên Hội đồng Quản trị,TV HĐQT,2023-05-04,0.0153,55434,VXT
4,Nguyễn Văn Hoàn,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-19,0.009958,59867,VXT
6,Vũ Thị Thơm,Thành viên Ban kiểm soát,TV BKS,2025-02-19,0.0094805,56996,VXT
5,Đỗ Trường Giang,Thành viên Hội đồng Quản trị/Kế toán trưởng,TV HĐQT/Kế toán trưởng,2025-02-19,0.0073564,44226,VXT
7,Phan Ngọc Tân,Thành viên Ban kiểm soát,TV BKS,2025-02-19,0.0054167,32565,VXT
8,Hà Quang Tuấn,Trưởng Ban kiểm soát,Trưởng BKS,2025-02-19,0.0,0,VXT
3,Đào Quang Thụ,Phó Tổng Giám đốc,Phó TGĐ,2024-04-04,0.00100251,3600,VXP
4,Lưu Thị Loan,Trưởng phòng Tài chính - Kế toán,Trưởng phòng Tài chính - Kế toán,2024-04-04,0.0009,3100,VXP
1,Nguyễn Phương Lan,Phó Tổng Giám đốc,Phó TGĐ,2023-02-22,0.00061264,2200,VXP
9,Bùi Tuấn Anh,Trưởng Ban kiểm soát,Trưởng BKS,2024-06-12,0.00041771,1500,VXP
2,Bùi Thị Thu Phương,Thành viên Ban kiểm soát,TV BKS,2023-02-22,0.00027847,1000,VXP
5,Nguyễn Hiếu Liêm,Thành viên Hội đồng Quản trị,TV HĐQT,2024-04-04,0.0,0,VXP
6,Phạm Thanh Long,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-06-10,0.0,0,VXP
7,Nguyễn Tuấn Hùng,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2024-06-10,0.0,0,VXP
8,PHẠM VĂN THANH,Thành viên Ban kiểm soát,TV BKS,2024-06-10,0.0,0,VXP
1,Lê Quốc Cường,Phó Giám đốc,Phó GĐ,2015-09-14,0.01,39502,VXB
2,Nguyễn Hoài Yên,Phó Giám đốc,Phó GĐ,2015-09-14,0.00087503,3543,VXB
10,Phạm Đức Thắng,Thành viên Hội đồng Quản trị/Giám đốc,TV HĐQT/GĐ,2024-09-24,5.21e-05,21100,VXB
7,Lê Thị Kim Nuống,Thành viên Ban kiểm soát,TV BKS,2024-07-18,1e-05,37,VXB
5,Bùi Minh Lý,Thư ký Hội đồng Quản Trị/Người phụ trách quản trị công ty,Thư ký HĐQT/Người phụ trách quản trị công ty,2024-04-10,0.0,0,VXB
6,Nguyễn Văn Thạnh,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-18,0.0,1,VXB
4,Đinh Thị Thu Hiền,Trưởng phòng Tài chính - Kế toán,Trưởng phòng Tài chính - Kế toán,2024-04-10,0.0,0,VXB
8,Cao Minh Nhật,Thành viên Ban kiểm soát,TV BKS,2024-07-18,0.0,0,VXB
9,Phạm Trí Thành,Kế toán trưởng,Kế toán trưởng,2024-08-02,0.0,0,VXB
3,Trần Thị Minh Hiền,Phó Phòng Tài chính Kế toán,Phó Phòng Tài chính Kế toán,2024-04-10,0.0,0,VXB
